lambdaStandard,lambdaSpecial,invmu,B,bStandard,bspecial,Sim Blk Prob Stand,Theo Blk Prob Stand,Sim Blk Prob Spe,Theo Blk Prob Spe,Sim Avg Link Load Spe,Theo Avg Link Load Spe,Theo Avg Link Load Stan
2,1.5,4,16,2,4,1,0.23557026112368193,1,0.46956521739130436,0,0.7956521739130434,0.764429738876318
2,1.5,4,24,2,4,1,0.051406387712357934,1,0.2649223221586263,0,0.7350776778413736,0.6323957415250947
2,1.5,4,32,2,4,0.9673362730687571,0.004529831716282544,0.7379157427937916,0.12187578366630444,20.872450712876127,0.6585931622502716,0.49773508414185874
2,1.5,6,16,2,4,1,0.42265511497526337,1,0.6138085882683132,0,0.8689306763962953,0.866017327537105
2,1.5,6,24,2,4,1,0.19856738890547534,1,0.4405162445447424,0,0.8392256331828862,0.8014326110945246
2,1.5,6,32,2,4,0.9864080888446876,0.060412592462564536,0.808301718366436,0.2891580971109576,21.949138896021832,0.7996971407501728,0.7046905556530767
2,1.5,8,16,2,4,1,0.5452009988062894,1,0.698464025869038,0,0.904607922392886,0.9095980023874213
2,1.5,8,24,2,4,1,0.3424210036433723,1,0.5560889270294189,0,0.8878221459411623,0.8767719951421703
2,1.5,8,32,2,4,0.9892619737514914,0.17530763101638708,0.8544444444444445,0.42265511497526337,22.70790821358196,0.866017327537105,0.8246923689836129
2,1.5,10,16,2,4,1,0.6269796588832524,1,0.7532473329464804,0,0.9253225014506986,0.9325508527918691
2,1.5,10,24,2,4,1,0.45178853931469576,1,0.6341108419488903,0,0.9147228951277742,0.9136857678088405
2,1.5,10,32,2,4,0.9960506829027481,0.29203347319926587,0.87595850248083,0.5192555704153473,23.320652829669417,0.9013958054712238,0.8849581585009176
2,2,2,16,2,4,1,0.0304200582258927,1,0.31067961165048547,0,0.6893203883495146,0.4847899708870536
2,2,2,24,2,4,1,0.0006416879652056608,1,0.11716247139588101,0,0.5885583524027459,0.33311943734493143
